Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Jimmy Butler,$32742000,$34379100,$36016200,$37653300,$0,$0,0.474,[8],[9],30.47,20.3,F,52
Goran Dragic,$19217900,$0,$0,$0,$0,$0,0.54,[8],[9],33.83,16.5,G,51
Andre Iguodala,$17185185,$15000000,$15000000,$0,$0,$0,0.575,[8],[9],36.1,4.3,G-F,11
Solomon Hill,$13290395,$0,$0,$0,$0,$0,0.357,[8],[9],28.97,1.7,F,3
Kelly Olynyk,$12667885,$13598243,$0,$0,$0,$0,0.612,[8],[9],28.88,8,C,56
Meyers Leonard,$11286515,$0,$0,$0,$0,$0,0.635,[8],[9],28.02,6.1,C,49
Jae Crowder,$7815533,$0,$0,$0,$0,$0,0.613,[8],[9],29.66,13.2,F,11
Ryan Anderson,$5214583,$5214583,$5214583,$0,$0,$0,0.357,[8],[9],31.83,2.5,F,2
Tyler Herro,$3640200,$3822240,$4004280,$5722116,$7913686,$0,0.508,[8],[9],20.12,13.1,G,46
Bam Adebayo,$3454080,$5115492,$7115650,$0,$0,$0,0.565,[8],[9],22.63,16.1,C-F,62
Udonis Haslem,$2564753,$0,$0,$0,$0,$0,0.167,[8],[9],39.74,1.7,F,3
Derrick Jones,$1645357,$0,$0,$0,$0,$0,,,,,,,
Kendrick Nunn,$1416852,$1663861,$0,$0,$0,$0,0.523,[8],[9],24.59,15.7,G,59
Duncan Robinson,$1416852,$1663861,$0,$0,$0,$0,0.661,[8],[9],25.87,13,F,62
KZ Okpala,$898310,$1517981,$1782621,$0,$0,$0,0.6,[8],[9],20.85,1.4,F-G,5
Chris Silva,$466918,$1517981,$1782621,$0,$0,$0,0.623,[8],[9],23.46,3,F,40
Yante Maten,$100000,$0,$0,$0,$0,$0,,,,,,,
Kyle Alexander,$79568,$0,$0,$0,$0,$0,,,,,,,
Daryl Macon,$79568,$0,$0,$0,$0,$0,0.5,[8],[9],24.26,0.8,G,4
Gabe Vincent,$79568,$0,$0,$0,$0,$0,0.316,[8],[9],23.72,2.4,G,5
Totals,$135262022,$80165620,$43013404,$37653300,$0,$0,,,,,,,
