Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Khris Middleton,$30603448,$33051724,$35500000,$37984276,$40396552,$0,0.584,[8],[9],28.56,20.9,F,53
Giannis Antetokounmpo,$25842697,$27528088,$0,$0,$0,$0,0.585,[8],[9],25.25,29.6,F,56
Eric Bledsoe,$15625000,$16875000,$18125000,$19375000,$0,$0,0.532,[8],[9],30.24,15.3,G,54
Brook Lopez,$12093024,$12697675,$13302325,$13906976,$0,$0,0.493,[8],[9],31.92,10.8,C,59
George Hill,$10133907,$9590602,$10047297,$0,$0,$0,0.645,[8],[9],33.84,9.7,G,51
Ersan Ilyasova,$7000000,$7000000,$0,$0,$0,$0,0.552,[8],[9],32.81,7,F,54
Robin Lopez,$4767000,$5005350,$0,$0,$0,$0,0.564,[8],[9],31.92,5.5,C,57
Jon Leuer,$3169348,$3169348,$3169348,$0,$0,$0,,,,,,,
DJ Wilson,$2961120,$4548280,$6422172,$0,$0,$0,0.462,[8],[9],24.04,3,F-C,30
Donte DiVincenzo,$2905800,$3044160,$4675830,$6610599,$0,$0,0.539,[8],[9],23.09,9.1,G,57
Kyle Korver,$2564753,$0,$0,$0,$0,$0,0.58,[8],[9],38.97,6.4,G-F,47
Wesley Matthews,$2564753,$2692991,$0,$0,$0,$0,0.536,[8],[9],33.39,7.6,G,59
Spencer Hawes,$2007058,$2007058,$0,$0,$0,$0,,,,,,,
Larry Sanders,$1865546,$1865546,$1865546,$1865546,$0,$0,,,,,,,
Pat Connaughton,$1723050,$0,$0,$0,$0,$0,0.556,[8],[9],27.16,5,G,58
Dragan Bender,$1678854,$0,$0,$0,$0,$0,0.439,[8],[9],22.3,7.5,F,6
Sterling Brown,$1618520,$0,$0,$0,$0,$0,0.448,[8],[9],25.06,4.7,G-F,44
Thanasis Antetokounmpo,$1445697,$1701593,$0,$0,$0,$0,0.533,[8],[9],27.63,2.1,F,17
Marvin Williams,$604278,$0,$0,$0,$0,$0,0.485,[8],[9],33.71,3.8,F,9
Frank Mason,$79568,$0,$0,$0,$0,$0,0.214,[8],[9],25.92,1,G,5
Cam Reynolds,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$131332989,$130777415,$82009516,$73131798,$40396552,$0,,,,,,,
