Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Kemba Walker,$32742000,$34379100,$36016200,$37653300,$0,$0,0.53,[8],[9],29.83,21.7,G,47
Gordon Hayward,$32700690,$34187085,$0,$0,$0,$0,0.562,[8],[9],29.95,16.9,F,43
Marcus Smart,$12553571,$12946428,$13839285,$0,$0,$0,0.479,[8],[9],26,13,G,50
Jayson Tatum,$7830000,$9897120,$12985021,$0,$0,$0,0.526,[8],[9],22.01,23.6,F-G,56
Jaylen Brown,$6534829,$23883928,$25794643,$27705357,$29616072,$0,0.559,[8],[9],23.36,20.4,F-G,50
Daniel Theis,$5000000,$5000000,$0,$0,$0,$0,0.59,[8],[9],27.92,9,F,55
Enes Kanter,$4767000,$5005350,$0,$0,$0,$0,0.576,[8],[9],27.79,8.6,C,48
Romeo Langford,$3458400,$3631200,$3804360,$5634257,$7837251,$0,0.438,[8],[9],20.36,2.6,G-F,24
Vincent Poirier,$2505793,$2619207,$0,$0,$0,$0,0.5,[8],[9],26.35,1.9,C-F,21
Grant Williams,$2379840,$2498760,$2617800,$4306281,$6235494,$0,0.481,[8],[9],21.26,3.6,F,59
Robert Williams,$1937520,$2029920,$3661976,$5430710,$0,$0,,,,,,,
Semi Ojeleye,$1618520,$1752950,$0,$0,$0,$0,0.542,[8],[9],25.25,3.1,F,58
Brad Wanamaker,$1445697,$0,$0,$0,$0,$0,0.479,[8],[9],30.61,6.6,G,60
Carsen Edwards,$1228026,$1517981,$1782621,$1930681,$0,$0,0.42,[8],[9],21.98,3,G,35
Guerschon Yabusele,$1039080,$1039080,$1039080,$0,$0,$0,,,,,,,
Javonte Green,$898310,$1517981,$0,$0,$0,$0,0.536,[8],[9],26.62,3,G-F,43
Max Strus,$415000,$0,$0,$0,$0,$0,0.667,[8],[9],23.94,2.5,G-F,2
Demetrius Jackson,$92857,$92857,$92857,$92857,$0,$0,,,,,,,
Tacko Fall,$79568,$0,$0,$0,$0,$0,0.75,[8],[9],24.23,3.2,C,6
Tremont Waters,$79568,$0,$0,$0,$0,$0,0.386,[8],[9],22.15,3.3,G,10
Totals,$119306269,$123318957,$78564686,$65451514,$29616072,$0,,,,,,,
