Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Devin Booker,$27285000,$29430000,$31610000,$33790000,$36493200,$0,0.542,29.4,15.7,23.34,25.9,G,59
Tyler Johnson,$19245370,$0,$0,$0,$0,$0,0.45,17.2,11.5,27.83,5.7,G,31
Ricky Rubio,$16200000,$17000000,$17800000,$0,$0,$0,0.461,20.2,18.4,29.37,12.7,G,54
Kelly Oubre,$15625000,$14375000,$0,$0,$0,$0,,,,,,,
Deandre Ayton,$9562920,$10018200,$12632950,$16422835,$0,$0,0.548,24.3,12.4,21.62,19,C,30
Aron Baynes,$5453280,$0,$0,$0,$0,$0,0.555,20.6,10.9,33.24,10.6,C-F,39
Frank Kaminsky,$4767000,$5005350,$0,$0,$0,$0,0.525,20.8,9.4,26.92,11,F-C,32
Mikal Bridges,$4161000,$4359000,$5557725,$7569621,$0,$0,0.577,12.4,12.5,23.51,8.4,F,62
Cameron Johnson,$4033440,$4235160,$4437000,$5887899,$8060533,$0,0.558,16,7.7,24,8.1,F,49
Dario Saric,$3481985,$4791212,$0,$0,$0,$0,0.525,17.2,12.9,25.91,9.6,F,55
Kyle Korver,$3440000,$0,$0,$0,$0,$0,0.58,15.3,13.8,38.97,6.4,G-F,47
Ty Jerome,$2193480,$2303040,$2412840,$4220057,$6169723,$0,0.411,18.8,15,22.66,3.6,G-F,25
Cheick Diallo,$1678854,$1824003,$0,$0,$0,$0,0.665,16.6,16.2,23.47,4.8,F-C,41
Jevon Carter,$1416852,$0,$0,$0,$0,$0,0.514,13.6,12.3,24.47,4.3,G,47
Elie Okobo,$1416852,$1663861,$1802057,$0,$0,$0,0.475,15,15.1,22.37,4.1,F-G,52
Jalen Lecque,$898310,$1517981,$1782621,$0,$0,$0,0.4,19.1,8.4,19.72,2.5,G,4
Jonah Bolden,$89846,$0,$0,$0,$0,$0,0.25,11.5,0,24.17,2,F,3
Jared Harper,$79568,$0,$0,$0,$0,$0,0.25,21.5,0,22.47,0.7,G,3
Tariq Owens,$79568,$0,$0,$0,$0,$0,0.2,16.2,0,24.68,1.3,F,3
Totals,$121108325,$84902242,$51192621,$33790000,$36493200,$0,,,,,,,
