Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Gorgui Dieng,$16229213,$17287640,$0,$0,$0,$0,0.554,16.6,12.3,30.13,8.3,C,9
Jonas Valanciunas,$16000000,$15000000,$14000000,$0,$0,$0,0.595,21.5,12.6,27.83,14.5,C,59
Justise Winslow,$13000000,$13000000,$13000000,$0,$0,$0,0.411,20.6,14.6,23.94,11.3,G-F,11
Miles Plumlee,$12500000,$0,$0,$0,$0,$0,,,,,,,
Dion Waiters,$12100000,$12650000,$0,$0,$0,$0,0.538,30.8,10.2,28.23,9.3,G,3
Tyus Jones,$9258000,$8817143,$8376286,$0,$0,$0,0.521,17.1,11,23.82,7.4,G,62
Kyle Anderson,$9073050,$9505100,$9937150,$0,$0,$0,0.515,13.5,14.8,26.46,5.6,F-G,56
Ja Morant,$8730240,$9166800,$9603360,$12119440,$15815869,$0,0.521,26,16.7,20.57,17.6,G,56
Josh Jackson,$7059480,$0,$0,$0,$0,$0,0.496,21.3,12.6,23.06,9.3,G-F,15
Jaren Jackson,$6927480,$7257360,$9180560,$12109158,$0,$0,,,,,,,
Dwight Howard,$3039097,$0,$0,$0,$0,$0,0.743,14.5,17.5,34.24,7.8,C-F,60
Marko Guduric,$2625000,$2750000,$0,$0,$0,$0,0.484,17.5,17.7,24.99,4.3,G,40
Brandon Clarke,$2478840,$2602920,$2726880,$4343919,$6259588,$0,0.651,18.9,9.3,23.46,12,F-G,50
Grayson Allen,$2429400,$2545320,$4054695,$5842815,$0,$0,0.543,17.9,10.7,24.41,7.4,G,30
Avery Bradley,$2000000,$0,$0,$0,$0,$0,0.527,15.5,10.2,29.27,8.4,G,46
Jordan Bell,$1620564,$0,$0,$0,$0,$0,0.571,21.1,27.6,25.16,5,F,2
Dillon Brooks,$1618520,$11400000,$12200000,$11400000,$0,$0,0.475,24.9,9.7,24.12,15.7,G-F,62
De'Anthony Melton,$1416852,$0,$0,$0,$0,$0,0.474,19.9,16.4,21.77,8.2,G,49
Dakari Johnson,$459414,$459414,$459414,$0,$0,$0,,,,,,,
Ivan Rabb,$371758,$0,$0,$0,$0,$0,,,,,,,
Anthony Tolliver,$144901,$0,$0,$0,$0,$0,0.545,13.5,14.4,34.76,7,F,2
Dusty Hannahs,$81678,$0,$0,$0,$0,$0,0.556,30.7,0,26.51,6,G,2
Jarrod Uthoff,$81678,$0,$0,$0,$0,$0,0,14.8,0,26.8,0,F,2
John Konchar,$79568,$0,$0,$0,$0,$0,0.741,10.3,12.5,23.95,3.4,G,12
Yuta Watanabe,$79568,$0,$0,$0,$0,$0,0.426,14,3.2,25.39,1.9,G-F,14
Totals,$129404301,$102639017,$44972850,$11400000,$0,$0,,,,,,,
