Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Chris Paul,$38506482,$41358814,$44211146,$0,$0,$0,0.55,23,13.1,34.83,17.5,G,61
Steven Adams,$25842697,$27528088,$0,$0,$0,$0,0.592,17.4,14.5,26.63,11,C,56
Danilo Gallinari,$22615559,$0,$0,$0,$0,$0,0.551,24.4,7.7,31.57,19.2,F,53
Dennis Schroeder,$15500000,$15500000,$0,$0,$0,$0,0.535,27.1,13.4,26.47,19,G,61
Andre Roberson,$10740740,$0,$0,$0,$0,$0,,,,,,,
Shai Gilgeous-Alexander,$3952920,$4141320,$5495532,$7523383,$0,$0,0.514,23.7,10,21.65,19.3,G-F,62
Terrance Ferguson,$2475840,$3944013,$5683323,$0,$0,$0,0.49,8.9,12.2,21.8,4.3,G,48
Darius Bazley,$2284800,$2399160,$2513040,$4264628,$6205035,$0,0.448,14.1,13.8,19.73,4.5,F-G,53
Mike Muscala,$2028594,$2283034,$0,$0,$0,$0,0.541,16.5,7.7,28.68,4.7,F-C,40
Nerlens Noel,$1882867,$0,$0,$0,$0,$0,0.692,15.3,15.1,25.9,7.8,C-F,53
Abdel Nader,$1618520,$1752950,$0,$0,$0,$0,0.546,16.4,12.7,26.44,5.9,F,46
Isaiah Roby,$1500000,$1517981,$1782621,$1930681,$0,$0,0,7.7,50,22.08,0,F,3
Deonte Burton,$1416852,$1663861,$0,$0,$0,$0,0.417,19.3,11.4,26.09,2.8,G-F,33
Hamidou Diallo,$1416852,$1663861,$0,$0,$0,$0,0.457,17.7,13.7,21.6,6.1,G,36
Kyle Singler,$999200,$999200,$999200,$999200,$0,$0,,,,,,,
Patrick Patterson,$737067,$737067,$737067,$0,$0,$0,0.549,15,7.5,30.98,4.7,F,49
Luguentz Dort,$79568,$0,$0,$0,$0,$0,0.486,12.9,7.6,20.88,6.1,G,27
Devon Hall,$79568,$0,$0,$0,$0,$0,0.2,17.4,12.9,24.66,1,G,5
Kevin Hervey,$79568,$0,$0,$0,$0,$0,0.091,24.9,0,23.65,0.3,F,7
Totals,$133757694,$103825488,$47730034,$2929881,$0,$0,,,,,,,
