Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Otto Porter,$27250576,$28489239,$0,$0,$0,$0,,,,,,,
Zach LaVine,$19500000,$19500000,$19500000,$0,$0,$0,0.526,[8],[9],24.99,25.5,G-F,60
Thaddeus Young,$12900000,$13545000,$14190000,$0,$0,$0,0.516,[8],[9],31.7,10.3,F,61
Tomas Satoransky,$10000000,$10000000,$10000000,$0,$0,$0,0.498,[8],[9],28.35,10.1,G,62
Cristiano Felicio,$8156500,$7529020,$0,$0,$0,$0,0.63,[8],[9],27.66,4.1,F-C,21
Kris Dunn,$5348007,$7091457,$0,$0,$0,$0,0.487,[8],[9],25.97,7.3,G,51
Coby White,$5307120,$5572680,$5837760,$7413955,$9942113,$0,0.477,[8],[9],20.05,12.8,G,62
Lauri Markkanen,$5300400,$6731508,$9026952,$0,$0,$0,0.518,[8],[9],22.79,15,F-C,47
Wendell Carter,$5201400,$5448840,$6920027,$9279756,$0,$0,,,,,,,
Denzel Valentine,$3377568,$4698197,$0,$0,$0,$0,0.515,[8],[9],26.3,6.3,G,33
Ryan Arcidiacono,$3000000,$3000000,$3000000,$0,$0,$0,0.532,[8],[9],25.94,4.5,G,58
Omer Asik,$3000000,$0,$0,$0,$0,$0,,,,,,,
Chandler Hutchison,$2332320,$2443440,$4019459,$5820176,$0,$0,0.491,[8],[9],23.86,7.8,F-G,28
Luke Kornet,$2250000,$2250000,$0,$0,$0,$0,0.521,[8],[9],24.64,6,C-F,36
Shaquille Harrison,$1620564,$0,$0,$0,$0,$0,0.5,[8],[9],26.41,4.3,G,40
Antonio Blakeney,$1488231,$0,$0,$0,$0,$0,,,,,,,
Daniel Gafford,$898310,$1517981,$1782621,$1930681,$0,$0,0.693,[8],[9],21.43,5.1,F-C,40
Adam Mokoka,$79568,$0,$0,$0,$0,$0,0.536,[8],[9],21.63,2.9,G,11
Max Strus,$79568,$0,$0,$0,$0,$0,0.667,[8],[9],23.94,2.5,G-F,2
Totals,$117090132,$106027708,$45472621,$0,$0,$0,,,,,,,
