Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
LeBron James,$37436858,$39219566,$41002274,$0,$0,$0,0.554,[8],[9],35.18,25.4,F,57
Anthony Davis,$27093019,$28751775,$0,$0,$0,$0,0.545,[8],[9],26.98,26.6,F-C,52
Danny Green,$14634147,$15365853,$0,$0,$0,$0,0.556,[8],[9],32.7,8.4,G,58
Kentavious Caldwell-Pope,$8089282,$8493746,$0,$0,$0,$0,0.565,[8],[9],27.04,9.7,G,60
Luol Deng,$5000000,$5000000,$5000000,$0,$0,$0,,,,,,,
Avery Bradley,$4767000,$5005350,$0,$0,$0,$0,0.527,[8],[9],29.27,8.4,G,46
JaVale McGee,$4000000,$4200000,$0,$0,$0,$0,0.655,[8],[9],32.12,6.9,C-F,58
DeMarcus Cousins,$3500000,$0,$0,$0,$0,$0,,,,,,,
Quinn Cook,$3000000,$3000000,$0,$0,$0,$0,0.512,[8],[9],26.95,4.8,G,38
Alex Caruso,$2750000,$2750000,$0,$0,$0,$0,0.496,[8],[9],26.01,5.5,G,55
Jared Dudley,$2564753,$0,$0,$0,$0,$0,0.56,[8],[9],34.65,1.5,F,40
Dwight Howard,$2564753,$0,$0,$0,$0,$0,0.743,[8],[9],34.24,7.8,C-F,60
Rajon Rondo,$2564753,$2692991,$0,$0,$0,$0,0.49,[8],[9],34.03,7.3,G,45
Markieff Morris,$2259887,$0,$0,$0,$0,$0,0.463,[8],[9],30.51,5.8,F,5
Troy Daniels,$2028594,$0,$0,$0,$0,$0,0.519,[8],[9],28.64,4.2,G,41
Kyle Kuzma,$1974600,$3562178,$5282711,$0,$0,$0,0.494,[8],[9],24.61,12.6,F,51
Talen Horton-Tucker,$898310,$1517981,,$0,$0,$0,0,[8],[9],19.27,0,G,2
Kostas Antetokounmpo,$79568,$0,$0,$0,$0,$0,,[8],[9],22.29,0,F,3
Devontae Cacok,$79568,$0,$0,$0,$0,$0,,,,,,,
Zach Norvell,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$125364660,$119559440,$46002274,$0,$0,$0,,,,,,,
