Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Nicolas Batum,$25565217,$27130434,$0,$0,$0,$0,0.432,9.3,20.5,31.22,3.6,G-F,22
Terry Rozier,$19894737,$18900000,$17905263,$0,$0,$0,0.501,23.6,12.3,25.97,17.5,G,60
Bismack Biyombo,$17000000,$0,$0,$0,$0,$0,0.539,17.1,12.5,27.52,7.5,C,51
Cody Zeller,$14471910,$15415730,$0,$0,$0,$0,0.537,20.9,11.5,27.41,11,C,54
Marvin Williams,$14049901,$0,$0,$0,$0,$0,0.485,9.7,8.1,33.71,3.8,F,9
Michael Kidd-Gilchrist,$12189237,$0,$0,$0,$0,$0,0.25,6.8,45,26.44,0.5,F,8
Malik Monk,$4028400,$5345687,$7318245,$0,$0,$0,0.494,22.8,12.6,22.08,10.3,G,55
PJ Washington,$3831840,$4023600,$4215120,$5808435,$7992407,$0,,,,,,,
Miles Bridges,$3755400,$3934320,$5421493,$7469530,$0,$0,0.501,19.8,10.6,21.96,13.2,F,61
Willy Hernangomez,$1676735,$0,$0,$0,$0,$0,0.544,23.6,16.1,25.77,6,C-F,29
Dwayne Bacon,$1618520,$2023150,$0,$0,$0,$0,0.387,19.4,12.2,24.51,5.7,G-F,39
Devonte Graham,$1416852,$1663861,$0,$0,$0,$0,,,,,,,
Cody Martin,$1173310,$1517981,$1782621,$0,$0,$0,0.479,14.2,15.2,24.43,4.9,F,44
Caleb Martin,$898310,$1517981,$1782621,$0,$0,$0,0.464,14.5,15.9,24.43,3.9,F,14
Jalen McDaniels,$898310,$1517981,$1782621,$1930681,$0,$0,0.52,13.5,11.1,22.09,5.2,F-C,12
Joe Chealey,$163356,$0,$0,$0,$0,$0,0,13.8,20.2,24.34,0.7,G,3
Robert Franks,$79568,$0,$0,$0,$0,$0,,,,,,,
Kobi Simmons,$79568,$0,$0,$0,$0,$0,,,,,,,
Raymond Spalding,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$122870739,$79303714,$23253126,$1930681,$0,$0,,,,,,,
